isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
doruk onatkut,,,,,5TIkZVafEHvumRrXRUSC3r,Doruk Onatkut Orkestrası,173.0,1.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",,
Mental Implant,"Ankara, Ankara, Turkey",,Ankara,grup,5rbCi5nn09FTxirZhjw0Gp,Calimex Mental Implant Corp.,173.0,0.0,"chicago house, acid house",,,
pusula,,,,,0Ue043z4NS3CNY8mEM0k3q,Pusula AG,170.0,2.0,,,,
Yumurta,,"İstanbul, İstanbul, Turkey",İstanbul,solo,2BiYpMPrOjE2mlM89ZWhJQ,Umut Yumurtacı,165.0,0.0,,,,
Hayati Hamzaoğlu,"Trabzon, Trabzon, Turkey",,Trabzon,solo,49tdr3jqvYaFO6OvvAIufp,Hayati,162.0,39.0,turkish pop,,,
Levent Can,"İstanbul, İstanbul, Turkey",,İstanbul,solo,099VtDoN0f9E6GQNz8eC2t,Levent Canen,162.0,8.0,,,,
Σοφία Καρίβαλη[Sofia Karivali],"İzmir, İzmir, Turkey",,İzmir,solo,0Kt2UG8DXr4QoGAqS1M21B,Sofia Karivali,162.0,3.0,laïko,,,
Yusuf Çetin,"Ağrı, Turkey",,Ağrı,solo,35mjEaODJAUQ5HVZwUyNBN,Yusuf Çetinkaya,161.0,9.0,arabesk,,,
emine’m,,,,,2h2MTBTENpGR9Aeg7xj0KF,emin,160.0,26.0,turkish hip hop,lo-fi,,
Αντώνης Νταλγκάς[Antonis Dalgas],"İstanbul, İstanbul, Turkey",,İstanbul,solo,3sRU3aY83ihXaNXJVEh87l,Αντώνης Νταλγκάς,152.0,1.0,laïko,,,
Dağhan Baydur,"İstanbul, İstanbul, Turkey",,İstanbul,solo,4MffWMXvrziW8FDkdsNNBH,Y. Dağhan Baydur,150.0,6.0,,,,
ebruli,,,,,69P1bBG4ChEkCb0mBMDXf5,EBRULİ,148.0,2.0,,"arabesk, turkish pop",,
Volkan Baş,"Eskişehir, Eskişehir, Turkey","İstanbul, İstanbul, Turkey",İstanbul,solo,5xoh7PaFns9Q4oarHLVMKV,Volkan Başaran,147.0,0.0,,,,
Burak Can,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6xhHB7QqT8VKOuLuL9HEFp,Burak Candan,146.0,0.0,,,,
Ali Demir,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1PE9Xf6dprVMzEqMUJt0nC,Ali Demirci,131.0,0.0,turkish hip hop,,,
çığrışım,,,,,3EdMBKIW1TTdZbcHjhZtBd,Çığrışım Folk,127.0,1.0,anatolian rock,anatolian rock,"punk, rock",
Altar,"Istanbul, Turkey",,İstanbul,grup,3B0wY4xVAAT0DboI7RevQ2,Altar Kafesçi,124.0,13.0,turkish pop,witch house,,
Berj Fazlian,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6gEEcYx3HltidZbSbexFOD,Berj Fazlian Quartet,122.0,0.0,jazz fusion,,,
turgay k,,,,,4EewiV7UwFielKYVAhMrKe,Turgay Kaplan,119.0,5.0,oyun havasi,oyun havasi,,turkish hip hop
Selahattin İçli,"Beşiktaş, İstanbul, Turkey",,İstanbul,solo,07T8yqbM8DBc8TNlSWdGt4,Prof. Dr. Selahattin İçli Çocuk Korosu,117.0,0.0,,,,
burak demir,,,,,2kvFZWl7bdo8ODcnWdSGvD,Burak Demiral,113.0,2.0,,,,
Aybüke Pusat,"Ankara, Ankara, Turkey",,Ankara,solo,29MIK4JBZdMpNWHNnPrp1H,Aybüke,111.0,21.0,anatolian rock,,,
i’mpty,,,,,33qY3Kx3v0Hlvbz2m0pYyd,Mpty,110.0,0.0,,"christian pop, turkish hip hop",rap,
mehmet ali bey,,,,,2AB9Z9nZa1wEY6ZbyIO65Q,Mehmet Ali Beydagi,109.0,2.0,,,,
Garmadh,"Eskişehir, Eskişehir, Turkey",,Eskişehir,grup,6CeD2X7Z27PEYzAHbW8LoD,Garm,105.0,28.0,,,,
hüseyin efendi,,,,,0yjVX4afqMY3aH0hvWPygc,Sebilci Hafız Hüseyin Efendi,103.0,0.0,ghazal,ghazal,,
mac prayna,,,,,7IpZzjrPSqXUfYVPnG9xUG,Dr. Hip Hop & Mac Prayna,99.0,2.0,"turkish hip hop, turkish pop",,,
kuloğlu,,,,,2Q1mKMbFxL08OGOmtKJwrm,Muhsin Kuloğlu,99.0,0.0,,,,
Nocte,"Eskişehir, Eskişehir, Turkey",,Eskişehir,grup,14Dbr4MZOIXxqnBL6phWv4,nocteir,99.0,13.0,,,,
Açelya Topaloğlu,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6Fl0OZstIthnQ79UQq9Knm,Açelya,97.0,25.0,,,,
Buura,,"İstanbul, İstanbul, Turkey",İstanbul,solo,1gCGBfUesSADKebDg0XWJ9,Buurawtf,95.0,14.0,,,,
İlhan Baran,"Artvin, Artvin, Turkey",,Artvin,solo,3iw8FW9q6Z53wvoopRp62G,Ekremo u İlhan Baran,87.0,10.0,oyun havasi,,halk,
dj walkie-d,,,,,0HxiomDT8rdZ3j5iSOpHHl,DJ Walkie,84.0,5.0,,,,
uras,,,,,7csFh0kB9y8kHFYq0ky0a6,Uras beats,82.0,1.0,,vocaloid,,turkish singer-songwriter
lokomotif,,,,,7IBgaEIjhKA5Xfixitaatr,Grup Lokomotif,81.0,5.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
İncesaz,"Istanbul, Turkey",,İstanbul,grup,5AyOUpUrHSkBm6RUCEoTLy,İncesaz ve Zurna,80.0,0.0,arabesk,,,
Σπύρος Περιστέρης[Spyros Peristeris],"İzmir, İzmir, Turkey",,İzmir,solo,0FctvlrLpsMmshc7RwUOJO,Σπύρος Περιστέρης,80.0,4.0,laïko,,,
nazif,,,,,6Y1TGsYBvLA0as51I9DP1M,Nazif Tunç,78.0,0.0,,,,
Saro,,"İstanbul, İstanbul, Turkey",İstanbul,solo,0XSQHDvjpPJqeJuJiU3d9R,Saro Secikyan,76.0,0.0,,,,
Ölü,,"İstanbul, İstanbul, Turkey",İstanbul,solo,1NgGlMsi5RUYyLB6xiC9bR,Olumlama,74.0,11.0,,,,
r.a.,,,,,5dnv4sVNb7r4YjBIZ9otlu,R.A.Y,73.0,0.0,,"reggaeton, urbano latino, trap latino, latin",,
hasan hüseyin,,,,,5RFqGvyNKchBT3yJu8U0Zj,Hasan Hüseyin Acun,72.0,0.0,oyun havasi,,,
lava,,,,,2wSC3gStTC8NTj9Z8DUFnZ,Lavavajillas,71.0,33.0,,,,
volkan yıldırım,,,,,2WrRRdlNJMRTIR7SzzZWKi,DJVolkan Yıldırım,71.0,2.0,,,,
The Andronovo,,"İstanbul, İstanbul, Turkey",İstanbul,solo,7BjoVEr79tWDTUcfkhRHCR,Andronovo,69.0,0.0,"folk metal, black metal",,,
jülide köseoğlu,,,,,7gJKcU14F8uI6Vs9eYH0Mt,Yıldıraz Öztürk - Halil Erseven - Jülide Köseoğlu - Yeşim Birgin,69.0,0.0,,,,
Mithra,"İstanbul, İstanbul, Turkey",,İstanbul,grup,5vbF0LQ52kHleAhOjlSKTA,Mithras,68.0,0.0,,"death metal, avant-garde",,turkish metal
Sevda Nur,"İstanbul, Turkey",,İstanbul,solo,3Qj0sveZQL0sVWKClWIKRe,Sevda Nur Avşar,67.0,4.0,,,,
Mustafa Kara,"Muğla, Muğla, Turkey",,Muğla,solo,43dZGYUV0BBZyZRWnOz8v7,Mustafa Karabacak,64.0,3.0,oyun havasi,,,
Burak Çevik,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1i70KArGTeQjIVzVUS62WT,Burak Çeviker,57.0,0.0,,,,
gönen,,,,,0YNZX6P1HXek7S4fwHE0ft,Gönenç,55.0,1.0,,,,deep turkish pop
solak,,,,,2fgyMGLYVjN9DkTAoogbZ1,Solak Murat,55.0,1.0,oyun havasi,,,
Xwîn,,"İstanbul, İstanbul, Turkey",İstanbul,solo,3n23Leh1r3C12Pr7wICl06,Xwinka,54.0,0.0,,,,
türeyiş,,,,,5ULNgncveHhYM0KrrVvVG2,Türeyiş Folk Üçlüsü,54.0,0.0,anatolian rock,anatolian rock,,
الهدى نور[Nour el Huda],"Mersin, Mersin, Turkey",,Mersin,solo,0C0rovDNfOzE3dfV780BN9,Nour El Huda,51.0,0.0,,,,
şenol kurt,,,,,1S5VAUgrnnJzpcFguUjLPb,Senol Kurtuldu,49.0,0.0,minimal techno,minimal techno,,
coma,,,,,0RsMuEFLvKSoBKtbTfSH2f,Comart,47.0,0.0,,"mexican hip hop, corridos bélicos, corrido",,
Muharrem Bayrak,"Samsun, Samsun, Turkey",,Samsun,solo,7uHnadOKOHAC1vYw6a9FW3,Muharrem Bayraktaroğlu,47.0,0.0,,,,
melkon alemsherian,,,,,4eT6qXwPS9EShqA5AQrJSH,Marko Melkon Alemsherian,47.0,2.0,,,,
ferhat öz,,,,,7N3nWJFC9KMmmjUMuikgF9,Ferhat Öztürk,46.0,0.0,,afro house,,
İsmail Ege Şaşmaz,"Manisa, Manisa, Turkey",,Manisa,solo,6c9W9Us1yue8BbQCs4KiLZ,Ege Şaşmaz,46.0,0.0,,,,
zenith,,,,,7A7nUH7GsJrDDLo3guAoKW,zenithberk,45.0,1.0,,,,
Ramazan Demir,"İstanbul, İstanbul, Turkey",,İstanbul,solo,33Ecmj6KRhIY8UA2u0CsCr,Ramazan Demirel,43.0,4.0,,,,
Rüya Gümüşata,"İstanbul, İstanbul, Turkey",,İstanbul,solo,7r2uLQkzUS1RidJsKfNZal,Rüya,41.0,24.0,,,,
kupa dörtlüsü,,,,,3vGDQ6B9a69muu3iSljqIX,Kupa Dörtlüsü Orkestrası,41.0,0.0,anatolian rock,anatolian rock,,
Rüya Önal,"Eskişehir, Eskişehir, Turkey",,Eskişehir,solo,7r2uLQkzUS1RidJsKfNZal,Rüya,41.0,24.0,,,,
firuzaga,,,,,0jJSPECCwS5ygtZx4qmOYQ,Firuza,40.0,0.0,,,,
adem şahin,,,,,1uGNi4xEa8lUCRPBMQDqSd,ALPAY ADEM ŞAHIN,40.0,0.0,,,,
Göbek,"İzmir, İzmir, Turkey",,İzmir,solo,2zcSmIFiUnDvA9AFpCkixg,Göbekli Tepe,38.0,0.0,,,,
big game hunter,,,,,5Pyjz6YHOQXrGAhM5S8X1v,Big Game Hunters,37.0,0.0,,synthwave,,turkish electronic
süpermatik,,,,,0FM7cil5mx9scIPOmKLnxT,"Süpermatik, Randoman",36.0,0.0,,,punk,
Mazhar M,,"İstanbul, Turkey",İstanbul,solo,7HSvkLOmmPLptGnipmM51T,Mazhar,35.0,6.0,turkish hip hop,,,
nasıl yani,,,,,52IaajC9fagTZa4z3Mq0kr,nasıl yani?,35.0,1.0,turkish pop,,,
ayfer er,,,,,1nXryOtKabS49NrWAPlTBW,ayfer ertan,35.0,1.0,,,,
CGS,"İstanbul, İstanbul, Turkey",,İstanbul,grup,2vqYqhmdxIHu2g3W0uGSLR,CGST,34.0,2.0,,,,
Zet,"İstanbul, İstanbul, Turkey","Amsterdam, Noord-Holland, Netherlands",İstanbul,solo,7tOVnBjXkMLg1YVkTrgupT,ZETH,33.0,0.0,boom bap,,,
Sexen,"İstanbul, İstanbul, Turkey",,İstanbul,grup,28zvIQ1jnMRaomQrzSDIse,sexen8xx,31.0,0.0,,,,
İnanç Konukçu,"Ankara, Ankara, Turkey",,Ankara,solo,7pX0G6EOMTzc4xaL5zcU3F,İnanç,31.0,24.0,,,,
efruz,,,,,5DWHFoyOjf2SQo7bcrut5v,EFRUZREAL,30.0,5.0,,,,
Yaşar Kemal,"Gökçedam, Osmaniye, Turkey",,Osmaniye,solo,6iDdnbZqWCkxH7bBrem6hs,YAŞAR KEMAL ALİM,29.0,2.0,,,,
alatav,,,,,1rgpspf0qqFgB02nfZLf07,Pünhan Alatava,28.0,8.0,,,,
pembe,,"İstanbul, İstanbul, Turkey",İstanbul,solo,6NLbefpZEBXZH7kQfgJwKM,Pembe Gürültü,28.0,28.0,,,,
Deniz Oral,"Mersin, İçel, Turkey",,Mersin,solo,2j4DGjplG8bV9IjOrRei2f,Deniz Orallı,27.0,0.0,,,,
ceni,,"İstanbul, İstanbul, Turkey",İstanbul,solo,3rrljoznbXQZKu0JNZehx0,CeniMer,27.0,0.0,,,,
Osvaldo Valenti,"İstanbul, İstanbul, Turkey",,İstanbul,solo,4lQmPFoyFq3B1gcVNsInZR,Osvaldo Valentin y su Orquesta,27.0,0.0,,,,
ayda tunç,,,,,0TBBGpWJYWL4lM3xMJJ6A1,Ayda Tunçboyacı,26.0,0.0,,,,
gülcan kara,,,,,4kBsYGnOYvSHwV1BTumFnx,Gülcan Kara Erdem,26.0,0.0,,arabesk,,
Thorncraft,"Eskişehir, Eskişehir, Turkey",,Eskişehir,grup,7zprzzis5IPqTL8D5TB21n,Jack Thorncraft,26.0,0.0,,,,
Victoria Hazan,"Salihli, Manisa, Turkey",,Manisa,solo,0N7h31Pqlv1kkN20TOOLcb,Madam Victoria Hazan,24.0,0.0,ghazal,ghazal,,
hafız osman,,,,,39hZuQnxn97Ed6QzeKnC4T,Hafız Osman Öge,24.0,0.0,,,,
Mirza Meltem,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1JLLYyZZDJAuytg7aVk8u4,Mirza,23.0,0.0,,,,
Doğa Can Anafarta,"Ankara, Ankara, Turkey",,Ankara,solo,0VzgkJnTn8ss6MrfZs66Yp,Doğa,23.0,28.0,turkish hip hop,,,
Doğa Konakoğlu,"İstanbul, İstanbul, Turkey",,İstanbul,solo,0VzgkJnTn8ss6MrfZs66Yp,Doğa,23.0,28.0,turkish hip hop,,,
nebula,,,,,5ng8VNgluUKFkKOT4nLOi7,NEBULAYIM,22.0,15.0,oyun havasi,,latin,
Koray Şahin,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1gjIKR6OLac2SLvvpkvcjQ,İbrahim Koray Şahin,21.0,0.0,,,,
jarrahi dervishes,,,,,07sksqACmtJKQkyKgELmDu,Jarrahi Dervishes and others,21.0,0.0,traditional music,traditional music,,
Zekai Apaydın,"İstanbul, İstanbul, Turkey",,İstanbul,solo,4nLzhHaBtspoqgMEPDzYla,Zekai Apaydın Orkestrası,21.0,0.0,anatolian rock,,,
Jess Molho,"İstanbul, Turkey",,İstanbul,solo,3NDmZ3ht3HD6b2u1DnPubo,Jess,19.0,2.0,,,,
Sait Ergenç,"İstanbul, İstanbul, Turkey",,İstanbul,solo,7JVMqW8U838Hw5IjGfIddD,Mehmet Sait Ergenç,18.0,0.0,,,,
hermit,,,,,6wtIp0Lj4lDSWEJlQT9jhj,Hermitian,17.0,0.0,,,,
mevlut şafak ihsani,,,,,6IdU3Kjz8Ob0llVWvOOuIu,Âsik Mevlut Safak Ihsani,17.0,0.0,,,,
apoteke,,,,,7kSxAbblz9XVFAHy49EYd8,Apoteket,17.0,0.0,"russelåter, epadunk","russelåter, epadunk",,
osman dede,,,,,7EQqKNOSlBUkX8QjhGIi9B,Nayi Osman Dede,16.0,0.0,,,,
Mehmet Özgür,"Korkuteli, Antalya, Turkey",,Antalya,solo,22NHi5mthW2rXLH5fxSskN,Mehmet Özgür Çelik,16.0,3.0,,,,
Salt,"İstanbul, İstanbul, Turkey",,İstanbul,solo,5moUSdMFEX9rUpS4rdG9kk,Saltuk,16.0,0.0,,,,
mustafa süder,,,,,6CPRAzsFhtWaPsF5qddVM5,Mustafa Süder Orkestrası,15.0,0.0,,turkish pop,,
melodi,,,,,1rVt9tXZXgIFyXEEqnlsI4,MelodiTurk,14.0,1.0,,bachata,,
Ali Cemal Çetinkaya,"Mazgirt, Tunceli, Turkey",,Tunceli,solo,0tNNROErcG7Iv7GGj1cQYL,Aşık Ali Cemal Çetinkaya,14.0,0.0,,,,
Fae Kin,,"Ankara, Ankara, Turkey",Ankara,solo,51ZWlg1sKq5mt2UsBiEhMy,Fae King,14.0,0.0,,,,
derviş abdullah,,,,,7hL9nDcCntdoOhG4ozWInl,Dervis Abdullah Efendi,14.0,0.0,ghazal,ghazal,caz,
belkıs hanım,,,,,4Vnw55ZVTC3AiGklwS5E1E,Lale Nerkis ve Belkıs Hanımlar,14.0,0.0,,,,
malfunct,,,,,55OJLV72xERN6jpoF2gUb3,System Malfunction,13.0,6.0,,"hardcore, hardcore punk",,
Lemi Atlı,"Üsküdar, İstanbul, Turkey",,İstanbul,solo,5xDAKoXi27rTSYgCA8BOca,Halit Lemi Atlı,13.0,0.0,,,,
Accusations,"İstanbul, İstanbul, Turkey",,İstanbul,grup,2gC44qqxy6ulfdQ3nxiM76,The Accusations,12.0,0.0,,,,
hzr,,,,,2CDny3ABpduCBTQU8pxBuF,Hzrsyn,11.0,0.0,,,,
Zuhal Topal,"İstanbul, İstanbul, Turkey",,İstanbul,solo,13bWST1lOKLaGhiDPtmEqg,"Zuhal Topal, Korhan Saygıner",11.0,0.0,turkish pop,,,
Bahar Şahin,"Artvin, Artvin, Turkey",,Artvin,solo,2iC0nycYkzn38kRHKiZ1gP,Bahar Şahin Sertdemir,11.0,0.0,,,,
Asuman Şener,"Çorlu, Çorlu, Turkey",,Tekirdağ,solo,4cEw9Rs3bmgg0CJrhVcbbX,Dj Asuman Şener,10.0,0.0,,,,
Esin İris,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1NdZVjbmJMyWxX7pDrQyVr,"Esin İris, Banu Kunt, Rodrigo Rodriguez",10.0,3.0,,,,
Tamer Yiğit,"Balıkesir, Balıkesir, Turkey",,Balıkesir,solo,5PUEVXwNuRfL5BRBEN0HMF,Tamer Yiğitoğlu,10.0,0.0,,,,
nuri üstünses,,,,,5rYqidm0O8frOmqRgY7cW2,Divrikli Nuri Üstünses,9.0,0.0,,,,
Nihayet Şahin,"İstanbul, İstanbul, Turkey",,İstanbul,solo,3JbzelniP03k2GHwAavvmM,Nihayet,9.0,3.0,,,,
Sinan Bengier,"Ankara, Ankara, Turkey",,Ankara,solo,0pX6yIXyLkbJy0ozA2E1Hi,Cengiz Sinan Bengier,9.0,5.0,,,,
kapsül,,,,,1XMxAuvK9FS8FexHrVjRJ8,Kapsüll,9.0,1.0,,,,
Ayşegül Akdemir,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1qVP8sH9BFz9PIzE4SPS32,Ayşegül Akdemir Şahin,8.0,0.0,,,,
fotini kokkala,,,,,0uUTkylUMMb7Do80xYV2Ky,Asineth Fotini Kokkala,8.0,4.0,,,,
Âşık Burhani,"Arpaçay, Kars, Turkey",,Kars,solo,3qgZ3lJ6ldKVzipDqyR6Pb,Sivaslı Aşık Burhani,8.0,0.0,,,,
barış büyük,,,,,3PjG6qBC1anHEn5nhPW2dl,Barış Büyükyıldırım,8.0,0.0,,,"rock, latin",
İnsanlar,"İstanbul, İstanbul, Turkey",,İstanbul,grup,6aSrc1eE8AUWCbP5Jd4s4Y,Alternatif İnsanlar,8.0,1.0,,,,
ahmet celal tokses,,,,,57E84vHYeaC12Z1Eh4JUfG,Hafız Ahmet Celâl Tokses,7.0,0.0,,,,
faruk şahin,,,,,5D3AtsVEGtCVOzeyUXTo0s,Faruk sahinoglu,7.0,0.0,,,,
Örümcek,"Muğla, Muğla, Turkey",,Muğla,grup,0mkLkijBqWgkolArdailU9,Örümcek Adam,7.0,0.0,,,,
4-Letter Word,"İstanbul, İstanbul, Turkey",,İstanbul,grup,5tuAZQxqBDYQgIiOeDlBWS,Love Is a 4-Letter Word,7.0,0.0,,,,
Funda Çetin,"Konya, Konya, Turkey",,Konya,solo,6WiqZwoLyNDxsO3fofGH0a,Funda Çetinkaya,7.0,0.0,,,,
Neoplast,"İstanbul, İstanbul, Turkey",,İstanbul,grup,7i7C9dMGN9dMtTY3ZLLW0v,Neoplastik,7.0,0.0,,,metal,
Kemal Tahir,"İstanbul, İstanbul, Turkey",,İstanbul,solo,0KQxsveZB6Wz9BIApmiEjY,Kemal Tahir Ayaz,7.0,0.0,,,,
El Mahdy Jr.,"Sidi Bel Abbes, Algeria","Konya, Konya, Turkey",Konya,solo,4Y9jnyLACzngkwf6mKz29v,El Mahdy Jr,6.0,0.0,,dubstep,,turkish electronic
Erkan Tunç,"Erzurum, Erzurum, Turkey",,Erzurum,solo,43PZG2XANVDQj5NfA5mWff,Erkan Tunçay,6.0,0.0,,,,
bakır yurtsever,,,,,0v0810Pd3YL9fhCgXgfVSM,Urfalı Bakir Yurtsever,6.0,0.0,,,,
Ulaş Ak,"Kars, Turkey",,Kars,solo,73lJQaOIIknrT4Ir4e7wKm,Ulas Aksunger,6.0,2.0,,,,
Rana Erkan,"İstanbul, İstanbul, Turkey",,İstanbul,solo,0MY4YILy2o9v4Duxbqutm6,Rana Erkan Tabanca,6.0,0.0,,,,
tunç dindaş,,,,,5gNandNObwv1PdZIvwJSFz,TURBO ( TUNC DINDAS),6.0,0.0,,,,
ünal ensari,,,,,6cOUk69b39RMXV6h8jMu0m,Ş.Ünal Ensari,6.0,0.0,,,,
Satanized,"İstanbul, İstanbul, Turkey",,İstanbul,grup,5jLYePG9HOVszB98x6kR88,Satanized by Alien Vampires,6.0,0.0,,,,
why not,,,,,26u4f6m1dqf1N7Wj2vQxn3,Why Not Music,6.0,0.0,,,,
evreka,,,,,1UDmtJnUEiQBAiuUTfJjxZ,Evreka Sound,6.0,0.0,,,,
nazire yağız,,,,,2jdDoCt5bsd4LEyAbnnrUZ,Nazire Yağız Savran,5.0,0.0,,,,
Freddie Brocksieper,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6jZFNJxgaGRbKcOsZbD9ho,Freddie Brocksieper Orchester,5.0,0.0,,,,
yelda özgen,,,,,4haM2KRWIo11hlbC7qfwzO,Yelda Özgen Öztürk,5.0,0.0,,,,
hâfız mehmet bey,,,,,2IkQQ7g8adLFR9sQBeEuFp,Bigalı Hafız Mehmet Bey,4.0,0.0,,,sanat müziği,
festus versus,,,,,0Wg067c1uebnkLoGTXyQcJ,Festus,4.0,3.0,,,,
Burak Çolak[Colak],"Istanbul, Istanbul, Turkey",,İstanbul,solo,7MMPaARlHOV0RKJKG169ck,Burak Çolak,4.0,0.0,,,,
Deggial,"Kadıköy, İstanbul, Turkey",,İstanbul,grup,63wVnTUlzM55MMztk7Vq78,Deggial Proyecto,3.0,0.0,,,metal,
Reuben Sarkisian,"Elazığ, Elazığ, Turkey",,Elazığ,solo,4XEynNx9Ir3vJMVQjnrd7Q,Reuben Sarkisian Orchestra,3.0,0.0,,,,
Batu Çetin,,"Ankara, Ankara, Turkey",Ankara,solo,4GG6F9pcxCw1uHz0LdZG1x,Batu Çetin of Cenotaph,3.0,0.0,,,,
Emre Yetim,"İstanbul, İstanbul, Turkey",,İstanbul,solo,288gh9UPm5m7D6PGGC0sxh,Emre Yetimoğlu,3.0,0.0,,,,
celaleddin biçer,,,,,5S60GrLREwO5M2bugiY8fX,Mehmet Celaleddin Biçer,3.0,0.0,,,,
acid trippin,,,,,785xOelUjC3n4rcN7q5YXP,Acid Tripping,2.0,0.0,,,,
uğur altınok,,,,,0CL2U2YDtQvBR1Ka5Jx1GD,Ali Uğur Altınok,2.0,0.0,,,pop,
Tunahan Kurt,"Silifke, Mersin, Turkey",,Mersin,solo,5ieFHZzr2N2qwpK104AiDt,Ahmet Tunahan KURT,2.0,0.0,,,,
boşluk,,,,,3POZLMATv4G9AzPc7XBnmz,boşlukn,2.0,0.0,,anatolian rock,,
ayral,"Istanbul, Kadıköy, Turkey",,İstanbul,solo,37L7cLoKFomB4JWJZ3cnhV,Ayrald Petit,2.0,9.0,,,,
Soner Yalçın,"Çorum, Çorum, Turkey",,Çorum,solo,3gK1GE2On9EQOeSa4LLoub,Soner Yalçıner,2.0,0.0,,,,
ziya paşa,,,,,1vTSEdMJ1xZulM65Of5mzz,Ziya Paşa Akyürek,2.0,0.0,,,,
Aborda,"Bursa, Turkey",,Bursa,grup,0kFUVrbSxb5sE1sTkmOWqY,Abordaż,1.0,0.0,,,,
Selim Güneş,"Artvin, Artvin, Turkey",,Artvin,solo,3qBcYDfpwaweY26QoNqNRY,MIA via Selim Gunes,1.0,0.0,,,,
hüseyin avni bey,,,,,0Q4bPRHs9zsIVg2iHPZTO0,Ödemişli Hüseyin Avni Bey,1.0,0.0,,,,
Serkan Genç,"Antakya, Turkey",,Hatay,solo,5Ch19CiusBg5LALcjWo1mr,Serkan Gençer,1.0,0.0,,,,
çağrışım,,,,,5FCykuxU5WxmNnObfJpmqS,Grup Çağrışım,1.0,0.0,anatolian rock,anatolian rock,,
Ali Çifteci,"Adana, Adana, Turkey","Deventer, Overijssel, Netherlands",Adana,solo,28G3UKIeIl3xxTqt9FFfCM,Leòn Ali Çifteci,1.0,0.0,,,,
firuze,,,,,7al7m5whbdBYkoy4Lth8Gc,Firuze Ela,1.0,0.0,,,,deep turkish pop
Demet Şaşmaz,"İstanbul, İstanbul, Turkey",,İstanbul,solo,53ozn1XlVH8FjhxIPi8JnL,Demet Şaşmaz Levi,1.0,0.0,,,,
Ali Bilgin,"İzmir, İzmir, Turkey",,İzmir,solo,11LuJSNgCORTOC8E3ca1Um,Ali Bilginer,1.0,0.0,,,,
kemal demir,,,,,2QPzErHwXFV4n0MUQKGjwE,Kemal Demirel,1.0,0.0,,,,
emir emre,,,,,4oRGsKuvmwwQzdGnXWaDLi,Mustafa Emir Emre,1.0,0.0,,,,
mustafa egemen,,,,,28mYQdFO03MCLMSLCeqrIE,Mustafa Egemen Şener,1.0,0.0,,,,
Ömer Polat,"Ağrı, Ağrı, Turkey",,Ağrı,solo,2QiXt3SdNynBsHgbiGYAW0,Ömer Polatoğlu,1.0,0.0,,,,
ibidiklar,,,,,3kp8GQOBYWBzHt42Cp6rBY,Ibıdıklar Orkestrası,0.0,0.0,,,,
bokkob,,,,,3EJWAmflBfqEIXya7ZbRnR,BOKKOBOKO,0.0,0.0,,,,
Arda Kural,"İstanbul, Turkey",,İstanbul,solo,5nCt0irn9EPR9yRmUJKopI,Arda Kuralanz,0.0,0.0,,,,
Ethereal Travel,"Ankara, Ankara, Turkey",,Ankara,grup,4ghs4h0mFeO5ga5JxsMlAM,Ethereal Travellers,0.0,0.0,,,,
emrah kotan,,,,,7FT24JxCR9rVQAn5bRDrX5,Emrah Kotan-D/P,0.0,0.0,,,,
...Aaaarrghh...,"Ankara, Ankara, Turkey",,Ankara,solo,,,,,,,pop,
12 metercube soundsystem,,,,,,,,,,,,
2/5 bz,,,,,,,,,,"electroacoustic, experimental, avant-garde",,
2kutup,,,,,,,,,,,,
7pf2p,,,,,,,,,,,,
a. taylan cemgil,,,,,,,,,,,,
a. yıldan dirik,,,,,,,,,,,,
a.yarr.k,,,,,,,,,,,,
abbas ibrahim,,,,,,,,,,,,
abdül kadir,,,,,,,,,,,,
abdülaziz efendi,,,,,,,,,,,,
abdülhak hamid tarhan,,,,,,,,,,,,
abdülhalim ağa,,,,,,,,,,,,
abdullah nail bayşu,,,,,,,,,,,,
abdullah şakar,,,,,,,,,,,,
abdullah yazıc,,,,,,,,,,,,
abdülmecid şeyhi,,,,,,,,,,,,
abdurrahman bahir efendi,,,,,,,,,,,,
abdurrahman refia efendi,,,,,,,,,,,,
abdurrahman saracoğlu,,,,,,,,,,,,
abdussalam hawwa,,,,,,,,,,,,
acaipademler,,,,,,,,,,,,
adile sultan,,,,,,,,,,,,
adnan aydemir,,,,,,,,,,,,
adnan üryani,,,,,,,,,,,,
Adviruz,,"İstanbul, İstanbul, Turkey",İstanbul,solo,,,,,,,,
afordisman salihins,,,,,,,,,,,,
Aga B,"Ankara, Ankara, Turkey",,Ankara,solo,,,,,,,,turkish hip hop
agopos alyanak,,,,,,,,,,,,
ağrı dağı efsanesi,,,,,,,,,,,,
